variant,seed,online_accuracy,cum_regret,regret_per_decision,cumulative_observed_reward,observed_reward_per_decision,online_accuracy_weekday,online_accuracy_on-call,online_accuracy_off-hours,regret_weekday,regret_on-call,regret_off-hours
full,0,0.6875,43.65076131245935,0.1818781721352473,224.0,0.9333333333333333,0.4875,0.775,0.8,30.84377690813586,7.819245369756544,4.987739034566966
no_exploration,0,0.7416666666666667,52.93531996227061,0.22056383317612754,220.75,0.9197916666666667,0.55,0.8,0.875,30.4141745431037,12.634996071451226,9.886149347715696
no_replay_newest_only,0,0.4125,127.14842635890238,0.5297851098287599,-4.0,-0.016666666666666666,0.4125,0.4125,0.4125,38.15567571467376,43.374145686442155,45.618604957786395
neither,0,0.4083333333333333,133.48607765771257,0.5561919902404691,-16.0,-0.06666666666666667,0.3875,0.425,0.4125,45.606178246972846,42.26129445295323,45.618604957786395
full,1,0.6916666666666667,49.238015940324345,0.20515839975135144,248.5,1.0354166666666667,0.475,0.7625,0.8375,38.49224922712778,7.991319278340035,2.7544474348565435
no_exploration,1,0.6791666666666667,60.87229976477603,0.25363458235323344,204.25,0.8510416666666667,0.575,0.725,0.7375,28.86998501364904,16.156582023714574,15.84573272741244
no_replay_newest_only,1,0.39166666666666666,131.34966151646648,0.5472902563186104,16.5,0.06875,0.3875,0.3875,0.4,40.7429550728011,43.68803440899467,46.91867203467071
neither,1,0.4125,126.39761498611574,0.5266567291088156,8.0,0.03333333333333333,0.4,0.3875,0.45,39.42525487926099,43.434462387820616,43.537897719034135
full,2,0.7291666666666666,41.399400990504816,0.1724975041271034,214.75,0.8947916666666667,0.5875,0.7875,0.8125,24.598526088947484,10.42696777271582,6.373907128841501
no_exploration,2,0.6625,72.20079165468118,0.30083663189450494,134.25,0.559375,0.525,0.65,0.8125,36.31426946812395,23.122308472960817,12.764213713596423
no_replay_newest_only,2,0.38333333333333336,146.21554631486856,0.609231442978619,-32.25,-0.134375,0.3875,0.3125,0.45,44.84093244933347,54.40899658153107,46.965617284003955
neither,2,0.4625,131.37622321027507,0.5474009300428128,-4.75,-0.019791666666666666,0.4625,0.475,0.45,40.28111646104766,44.12948946522341,46.965617284003955
